x,y,diameter_pixel,imagePath,realDiameter,sample
774,298,328,example/input\Nikon DS-Ri2\Sample 1\088.tif,481.3619019665397,Sample 1
308,273,328,example/input\Nikon DS-Ri2\Sample 1\088.tif,481.3619019665397,Sample 1
728,218,328,example/input\Nikon DS-Ri2\Sample 1\088.tif,481.3619019665397,Sample 1
824,172,360,example/input\Nikon DS-Ri2\Sample 1\089.tif,528.3240387437631,Sample 1
514,758,344,example/input\Nikon DS-Ri2\Sample 1\089.tif,504.8429703551514,Sample 1
681,555,344,example/input\Nikon DS-Ri2\Sample 1\089.tif,504.8429703551514,Sample 1
452,576,344,example/input\Nikon DS-Ri2\Sample 1\089.tif,504.8429703551514,Sample 1
322,526,336,example/input\Nikon DS-Ri2\Sample 1\089.tif,493.1024361608456,Sample 1
531,399,336,example/input\Nikon DS-Ri2\Sample 1\089.tif,493.1024361608456,Sample 1
772,723,336,example/input\Nikon DS-Ri2\Sample 1\089.tif,493.1024361608456,Sample 1
366,318,336,example/input\Nikon DS-Ri2\Sample 1\089.tif,493.1024361608456,Sample 1
304,699,328,example/input\Nikon DS-Ri2\Sample 1\089.tif,481.3619019665397,Sample 1
724,642,328,example/input\Nikon DS-Ri2\Sample 1\089.tif,481.3619019665397,Sample 1
120,675,328,example/input\Nikon DS-Ri2\Sample 1\089.tif,481.3619019665397,Sample 1
576,477,320,example/input\Nikon DS-Ri2\Sample 1\090.tif,469.6213677722338,Sample 1
82,724,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397,Sample 1
514,670,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397,Sample 1
152,288,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
783,591,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397,Sample 1
1164,638,344,example/input\Nikon DS-Ri2\Sample 1\090.tif,504.8429703551514,Sample 1
246,654,344,example/input\Nikon DS-Ri2\Sample 1\090.tif,504.8429703551514,Sample 1
777,224,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
622,346,328,example/input\Nikon DS-Ri2\Sample 1\090.tif,481.3619019665397,Sample 1
1048,412,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
676,94,320,example/input\Nikon DS-Ri2\Sample 1\090.tif,469.6213677722338,Sample 1
795,126,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
558,261,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
974,273,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
495,376,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
63,348,336,example/input\Nikon DS-Ri2\Sample 1\090.tif,493.1024361608456,Sample 1
