x,y,diameter_pixel,imagePath,realDiameter
717,567,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
760,447,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
1131,543,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
318,438,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
154,96,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
423,453,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
288,156,320,example/input\Nikon DS-Ri2\Sample 1\092.tif,469.62136777223384
360,508,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
312,246,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
1155,39,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
636,585,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
836,471,304,example/input\Nikon DS-Ri2\Sample 1\092.tif,446.14029938362216
382,286,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
1185,478,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
315,33,328,example/input\Nikon DS-Ri2\Sample 1\092.tif,481.3619019665397
1196,738,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
802,9,344,example/input\Nikon DS-Ri2\Sample 1\092.tif,504.8429703551514
164,14,336,example/input\Nikon DS-Ri2\Sample 1\092.tif,493.10243616084557
866,592,528,example/input\Nikon DS-Ri2\Sample 1\093.tif,774.8752568241858
798,484,496,example/input\Nikon DS-Ri2\Sample 1\093.tif,727.9131200469625
490,158,432,example/input\Nikon DS-Ri2\Sample 1\093.tif,633.9888464925157
220,428,424,example/input\Nikon DS-Ri2\Sample 1\093.tif,622.2483122982098
408,658,432,example/input\Nikon DS-Ri2\Sample 1\093.tif,633.9888464925157
670,694,416,example/input\Nikon DS-Ri2\Sample 1\093.tif,610.507778103904
714,156,432,example/input\Nikon DS-Ri2\Sample 1\093.tif,633.9888464925157
654,58,488,example/input\Nikon DS-Ri2\Sample 1\093.tif,716.1725858526567
219,198,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514
147,644,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
693,261,368,example/input\Nikon DS-Ri2\Sample 1\093.tif,540.064572938069
580,194,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
340,222,360,example/input\Nikon DS-Ri2\Sample 1\093.tif,528.3240387437631
486,357,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
472,728,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
260,316,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
958,218,352,example/input\Nikon DS-Ri2\Sample 1\093.tif,516.5835045494572
840,384,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
585,363,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
1080,448,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514
262,62,352,example/input\Nikon DS-Ri2\Sample 1\093.tif,516.5835045494572
260,693,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514
411,519,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
794,286,352,example/input\Nikon DS-Ri2\Sample 1\093.tif,516.5835045494572
810,202,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514
84,358,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
130,178,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
170,728,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514
506,556,320,example/input\Nikon DS-Ri2\Sample 1\093.tif,469.62136777223384
567,636,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
1118,760,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
909,316,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
825,756,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
116,276,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
94,466,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
172,96,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
285,144,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
1170,86,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
344,370,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
573,504,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
735,606,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
976,118,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
381,116,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
730,360,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
687,430,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
800,117,320,example/input\Nikon DS-Ri2\Sample 1\093.tif,469.62136777223384
656,578,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
914,772,344,example/input\Nikon DS-Ri2\Sample 1\093.tif,504.8429703551514
483,273,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
242,566,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
914,60,352,example/input\Nikon DS-Ri2\Sample 1\093.tif,516.5835045494572
536,28,424,example/input\Nikon DS-Ri2\Sample 1\093.tif,622.2483122982098
754,42,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
1016,34,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
452,69,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
273,777,336,example/input\Nikon DS-Ri2\Sample 1\093.tif,493.10243616084557
426,798,328,example/input\Nikon DS-Ri2\Sample 1\093.tif,481.3619019665397
687,357,432,example/input\Nikon DS-Ri2\Sample 1\094.tif,633.9888464925157
579,378,432,example/input\Nikon DS-Ri2\Sample 1\094.tif,633.9888464925157
938,333,488,example/input\Nikon DS-Ri2\Sample 1\094.tif,716.1725858526567
650,507,488,example/input\Nikon DS-Ri2\Sample 1\094.tif,716.1725858526567
831,254,416,example/input\Nikon DS-Ri2\Sample 1\094.tif,610.507778103904
486,606,432,example/input\Nikon DS-Ri2\Sample 1\094.tif,633.9888464925157
